ds,y,count,,,,,,,,,,,,,,,,,
2023-12-01,"946,820",119,,,,,,,,,,,,,,,,,
2023-12-02,"62,800",13,,,,,,,,,,,,,,,,,
2023-12-03,0,0,,,,,,,,,,,,,,,,,
2023-12-04,"668,600",107,,,,,,,,,,,,,,,,,
2023-12-05,"837,710",120,,,,,,,,,,,,,,,,,
2023-12-06,"719,660",107,,,,,,,,,,,,,,,,,
2023-12-07,"986,848",144,,,,,,,,,,,,,,,,,
2023-12-08,"878,300",116,,,,,,,,,,,,,,,,,
2023-12-09,"121,900",22,,,,,,,,,,,,,,,,,
2023-12-10,0,0,,,,,,,,,,,,,,,,,
2023-12-11,"600,120",94,,,,,,,,,,,,,,,,,
2023-12-12,"938,140",132,,,,,,,,,,,,,,,,,
2023-12-13,"1,666,900",131,,,,,,,,,,,,,,,,,
2023-12-14,"517,132",79,,,,,,,,,,,,,,,,,
2023-12-15,"533,370",89,,,,,,,,,,,,,,,,,
2023-12-16,"177,000",27,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
