Date,Count,Sum
2023-01-01,0,0
2023-01-02,0,0
2023-01-03,0,0
2023-01-04,0,0
2023-01-05,0,0
2023-01-06,0,0
2023-01-07,76,451800
2023-01-08,0,0
2023-01-09,102,618300
2023-01-10,92,593765
2023-01-11,100,640800
2023-01-12,125,737600
2023-01-13,114,707600
2023-01-14,101,701700
2023-01-15,0,0
2023-01-16,97,633200
2023-01-17,103,541400
2023-01-18,99,669000
2023-01-19,99,649640
2023-01-20,102,549200
2023-01-21,76,357200
2023-01-22,0,0
2023-01-23,42,252500
2023-01-24,28,174600
2023-01-25,85,580500
2023-01-26,90,515400
2023-01-27,109,682020
2023-01-28,86,544700
2023-01-29,0,0
2023-01-30,104,555200
2023-01-31,104,625200
Total,1934,11781325
