ds,y,count,,,,,,,,,,,,,,,,,,,
2023-12-01,"167,900",24,,,,,,,,,,,,,,,,,,,
2023-12-02,"125,700",18,,,,,,,,,,,,,,,,,,,
2023-12-03,"206,600",32,,,,,,,,,,,,,,,,,,,
2023-12-04,0,0,,,,,,,,,,,,,,,,,,,
2023-12-05,"76,800",16,,,,,,,,,,,,,,,,,,,
2023-12-06,"156,400",18,,,,,,,,,,,,,,,,,,,
2023-12-07,"76,300",13,,,,,,,,,,,,,,,,,,,
2023-12-08,"146,700",26,,,,,,,,,,,,,,,,,,,
2023-12-09,"260,000",36,,,,,,,,,,,,,,,,,,,
2023-12-10,"266,400",42,,,,,,,,,,,,,,,,,,,
2023-12-11,"56,500",9,,,,,,,,,,,,,,,,,,,
2023-12-12,"169,000",19,,,,,,,,,,,,,,,,,,,
2023-12-13,"99,100",13,,,,,,,,,,,,,,,,,,,
2023-12-14,"87,900",12,,,,,,,,,,,,,,,,,,,
2023-12-15,"70,400",13,,,,,,,,,,,,,,,,,,,
2023-12-16,"273,450",34,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
